combo,model,train_f1,test_f1,gap_f1,train_acc,test_acc,gap_acc
ECG+EDA+Gaze,GB,70.29,65.75,4.54,79.67,76.58,3.08
ECG+EDA+Gaze,LGBM,73.5,66.59,6.91,81.77,77.35,4.42
ECG+EDA+Gaze,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA+Gaze,LR,50.44,50.62,-0.18,71.8,71.74,0.06
ECG+EDA+Gaze,MLP,84.06,67.73,16.33,87.53,74.59,12.94
ECG+EDA+Gaze,RF,51.32,49.78,1.54,73.08,72.31,0.77
ECG+EDA+Gaze,SVM,75.46,65.15,10.31,82.94,76.08,6.86
ECG+EDA+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EEG+Gaze,GB,75.8,71.08,4.72,82.42,79.08,3.34
ECG+EEG+Gaze,LGBM,78.47,71.94,6.53,84.37,79.9,4.47
ECG+EEG+Gaze,LDA,59.31,58.69,0.62,73.61,73.25,0.36
ECG+EEG+Gaze,LR,59.85,59.73,0.12,73.68,73.5,0.18
ECG+EEG+Gaze,MLP,95.54,72.41,23.13,96.39,77.64,18.75
ECG+EEG+Gaze,RF,52.07,51.46,0.61,73.53,73.23,0.3
ECG+EEG+Gaze,SVM,78.54,73.5,5.04,84.09,80.46,3.63
ECG+EEG+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA+EEG+Gaze,GB,78.39,73.56,4.83,83.98,80.5,3.49
EDA+EEG+Gaze,LGBM,82.0,75.03,6.97,86.62,81.76,4.87
EDA+EEG+Gaze,LDA,41.54,41.57,-0.03,71.01,71.01,0.0
EDA+EEG+Gaze,LR,61.89,61.93,-0.04,74.26,74.07,0.19
EDA+EEG+Gaze,MLP,97.7,77.11,20.59,98.1,81.27,16.83
EDA+EEG+Gaze,RF,54.75,52.99,1.76,74.43,73.7,0.72
EDA+EEG+Gaze,SVM,85.85,77.43,8.42,89.02,82.55,6.46
EDA+EEG+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
All,GB,78.39,73.54,4.84,83.98,80.48,3.5
All,LGBM,82.0,75.03,6.97,86.62,81.76,4.87
All,LDA,41.56,41.62,-0.06,71.0,71.02,-0.02
All,LR,61.9,61.85,0.05,74.27,74.02,0.25
All,MLP,96.69,75.69,21.0,97.31,80.26,17.05
All,RF,54.31,52.58,1.73,74.29,73.58,0.7
All,SVM,85.85,77.43,8.42,89.02,82.55,6.46
All,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
