combo,model,ms_per_sample,n_test,window
Gaze,MLP,0.0001,7537,2s
Gaze,RF,0.0243,7537,2s
Gaze,SVM,0.7895,7537,2s
Gaze,XGBoost,0.0023,7537,2s
ECG+EDA,GB,0.002,7537,2s
ECG+EDA,LGBM,0.2027,7537,2s
ECG+EDA,LDA,0.0,7537,2s
ECG+EDA,LR,0.0,7537,2s
ECG+EDA,MLP,0.0001,7537,2s
ECG+EDA,RF,0.0255,7537,2s
ECG+EDA,SVM,1.1899,7537,2s
ECG+EDA,XGBoost,0.0024,7537,2s
ECG+EEG,GB,0.0026,7537,2s
ECG+EEG,LGBM,0.1769,7537,2s
ECG+EEG,LDA,0.0,7537,2s
ECG+EEG,LR,0.0001,7537,2s
ECG+EEG,MLP,0.0002,7537,2s
ECG+EEG,RF,0.0313,7537,2s
ECG+EEG,SVM,1.2426,7537,2s
ECG+EEG,XGBoost,0.0025,7537,2s
ECG+Gaze,GB,0.0024,7537,2s
ECG+Gaze,LGBM,0.2092,7537,2s
ECG+Gaze,LDA,0.0,7537,2s
ECG+Gaze,LR,0.0,7537,2s
ECG+Gaze,MLP,0.0001,7537,2s
ECG+Gaze,RF,0.0247,7537,2s
ECG+Gaze,SVM,1.1326,7537,2s
ECG+Gaze,XGBoost,0.0024,7537,2s
EDA+EEG,GB,0.0027,7537,2s
EDA+EEG,LGBM,0.1867,7537,2s
EDA+EEG,LDA,0.0,7537,2s
EDA+EEG,LR,0.0001,7537,2s
EDA+EEG,MLP,0.0002,7537,2s
EDA+EEG,RF,0.0301,7537,2s
EDA+EEG,SVM,1.1458,7537,2s
EDA+EEG,XGBoost,0.0025,7537,2s
EDA+Gaze,GB,0.0025,7537,2s
EDA+Gaze,LGBM,0.1978,7537,2s
EDA+Gaze,LDA,0.0,7537,2s
EDA+Gaze,LR,0.0,7537,2s
EDA+Gaze,MLP,0.0001,7537,2s
EDA+Gaze,RF,0.0253,7537,2s
EDA+Gaze,SVM,0.9901,7537,2s
EDA+Gaze,XGBoost,0.0024,7537,2s
EEG+Gaze,GB,0.0026,7537,2s
EEG+Gaze,LGBM,0.1808,7537,2s
EEG+Gaze,LDA,0.0,7537,2s
EEG+Gaze,LR,0.0001,7537,2s
EEG+Gaze,MLP,0.0002,7537,2s
EEG+Gaze,RF,0.0306,7537,2s
EEG+Gaze,SVM,1.1741,7537,2s
