,,Accuracy,F1_weighted,F1_macro
EDA+EEG+Gaze,GB,79.41,78.14,72.19
EDA+EEG+Gaze,LGBM,79.48,77.7,71.22
EDA+EEG+Gaze,LDA,75.18,73.32,65.82
EDA+EEG+Gaze,LR,74.37,72.44,64.65
EDA+EEG+Gaze,MLP,76.91,76.82,71.8
EDA+EEG+Gaze,RF,74.8,68.94,57.59
EDA+EEG+Gaze,SVM,78.79,77.98,72.42
EDA+EEG+Gaze,XGBoost,71.0,58.97,41.52
EDA+EEG+Gaze,Transformer,76.71,75.95,69.99
EDA+EEG+Gaze,CNN,70.93,60.02,43.45
All,GB,79.77,78.51,72.66
All,LGBM,80.27,78.75,72.73
All,LDA,76.09,74.36,67.19
All,LR,75.5,73.79,66.51
All,MLP,77.62,77.44,72.4
All,RF,75.26,69.8,58.92
All,SVM,78.67,77.95,72.45
All,XGBoost,71.0,58.97,41.52
All,Transformer,75.42,74.37,67.82
All,CNN,71.05,60.38,44.06
