tag,model,rank,feature,modality,importance_pct
10s,GB,1,ecg_ECG_skewness,ecg,4.01
10s,GB,2,eeg_TP9_gamma_med_power,eeg,2.753
10s,GB,3,ecg_ECG_min,ecg,2.578
10s,GB,4,eeg_AF7_fft_max,eeg,2.3
10s,GB,5,eda_EDA_tonic_max,eda,2.241
10s,GB,6,gaze_pupil_right_mean,gaze,1.942
10s,GB,7,eeg_TP9_gamma_max_power,eeg,1.906
10s,GB,8,eeg_AF7_gamma_med_power,eeg,1.884
10s,GB,9,eeg_TP9_beta_abs_power,eeg,1.492
10s,GB,10,eeg_AF7_fft_median,eeg,1.431
10s,GB,11,eeg_AF8_delta_abs_power,eeg,1.397
10s,GB,12,eda_EDA_phasic_auc2,eda,1.388
10s,GB,13,eda_EDA_min,eda,1.293
10s,GB,14,gaze_blink_mean,gaze,1.282
10s,GB,15,eeg_TP10_fft_median,eeg,1.278
10s,GB,16,eeg_AF7_gamma_max_power,eeg,1.267
10s,GB,17,gaze_pupil_left_mean,gaze,1.267
10s,GB,18,gaze_fixation_duration_max,gaze,0.992
10s,GB,19,gaze_pupil_left_min,gaze,0.988
10s,GB,20,eda_EDA_entropy,eda,0.975
10s,LGBM,1,eeg_TP9_gamma_med_power,eeg,3.58
10s,LGBM,2,ecg_ECG_min,ecg,2.124
10s,LGBM,3,eda_EDA_min,eda,2.091
10s,LGBM,4,eeg_TP9_beta_abs_power,eeg,1.927
10s,LGBM,5,eeg_AF8_delta_abs_power,eeg,1.74
10s,LGBM,6,gaze_pupil_left_mean,gaze,1.697
10s,LGBM,7,gaze_pupil_right_mean,gaze,1.686
10s,LGBM,8,eeg_AF7_fft_max,eeg,1.585
10s,LGBM,9,gaze_pupil_right_min,gaze,1.482
10s,LGBM,10,eda_EDA_tonic_max,eda,1.326
10s,LGBM,11,eeg_AF7_higuchi_fd,eeg,1.32
10s,LGBM,12,ecg_ECG_skewness,ecg,1.287
10s,LGBM,13,gaze_saccade_peak_decel_min,gaze,1.148
10s,LGBM,14,eda_EDA_iqr,eda,1.092
10s,LGBM,15,eeg_AF7_fft_median,eeg,1.081
10s,LGBM,16,gaze_n_saccades,gaze,0.979
10s,LGBM,17,eeg_AF7_beta_max_power,eeg,0.958
10s,LGBM,18,ecg_HRV_pNN50,ecg,0.914
10s,LGBM,19,eeg_AF8_gamma_max_power,eeg,0.895
10s,LGBM,20,eda_phasic_n_peaks,eda,0.877
10s,LDA,1,eda_EDA_mean,eda,40.516
10s,LDA,2,eda_EDA_tonic_mean,eda,40.189
10s,LDA,3,eda_EDA_phasic_mean,eda,3.801
10s,LDA,4,eeg_AF7_gamma_mean_power,eeg,2.192
10s,LDA,5,eeg_AF7_gamma_abs_power,eeg,2.192
10s,LDA,6,eeg_AF8_gamma_abs_power,eeg,2.144
10s,LDA,7,eeg_AF8_gamma_mean_power,eeg,2.144
10s,LDA,8,eeg_TP10_gamma_abs_power,eeg,1.14
10s,LDA,9,eeg_TP10_gamma_mean_power,eeg,1.14
10s,LDA,10,eeg_TP9_gamma_mean_power,eeg,0.845
10s,LDA,11,eeg_TP9_gamma_abs_power,eeg,0.845
10s,LDA,12,eeg_TP10_beta_mean_power,eeg,0.318
