combo,model,ms_per_sample,n_test
ECG,GB,0.0027,838
ECG,LGBM,0.1846,838
ECG,LDA,0.0001,838
ECG,LR,0.0001,838
ECG,MLP,0.0002,838
ECG,RF,0.0659,838
ECG,SVM,0.0939,838
ECG,XGBoost,0.0025,838
EDA,GB,0.0024,838
EDA,LGBM,0.2669,838
EDA,LDA,0.0,838
EDA,LR,0.0001,838
EDA,MLP,0.0002,838
EDA,RF,0.0632,838
EDA,SVM,0.1001,838
EDA,XGBoost,0.0024,838
EEG,GB,0.0029,838
EEG,LGBM,0.2131,838
EEG,LDA,0.0001,838
EEG,LR,0.0001,838
EEG,MLP,0.0002,838
EEG,RF,0.0663,838
EEG,SVM,0.1274,838
EEG,XGBoost,0.0026,838
Gaze,GB,0.0026,838
Gaze,LGBM,0.2343,838
Gaze,LDA,0.0001,838
Gaze,LR,0.0001,838
Gaze,MLP,0.0002,838
Gaze,RF,0.0606,838
Gaze,SVM,0.0923,838
Gaze,XGBoost,0.0025,838
ECG+EDA,GB,0.0027,838
ECG+EDA,LGBM,0.199,838
ECG+EDA,LDA,0.0001,838
ECG+EDA,LR,0.0001,838
ECG+EDA,MLP,0.0002,838
ECG+EDA,RF,0.0671,838
ECG+EDA,SVM,0.1213,838
ECG+EDA,XGBoost,0.0026,838
ECG+EEG,GB,0.0029,838
ECG+EEG,LGBM,0.1941,838
ECG+EEG,LDA,0.0001,838
ECG+EEG,LR,0.0001,838
ECG+EEG,MLP,0.0002,838
ECG+EEG,RF,0.0666,838
ECG+EEG,SVM,0.1542,838
ECG+EEG,XGBoost,0.0026,838
ECG+Gaze,GB,0.0028,838
ECG+Gaze,LGBM,0.1859,838
ECG+Gaze,LDA,0.0001,838
ECG+Gaze,LR,0.0001,838
ECG+Gaze,MLP,0.0002,838
ECG+Gaze,RF,0.0652,838
ECG+Gaze,SVM,0.1202,838
ECG+Gaze,XGBoost,0.0026,838
EDA+EEG,GB,0.0031,838
EDA+EEG,LGBM,0.2195,838
EDA+EEG,LDA,0.0001,838
EDA+EEG,LR,0.0001,838
EDA+EEG,MLP,0.0002,838
EDA+EEG,RF,0.0667,838
EDA+EEG,SVM,0.1529,838
EDA+EEG,XGBoost,0.0026,838
EDA+Gaze,GB,0.0027,838
EDA+Gaze,LGBM,0.2061,838
EDA+Gaze,LDA,0.0001,838
EDA+Gaze,LR,0.0001,838
EDA+Gaze,MLP,0.0002,838
EDA+Gaze,RF,0.0624,838
EDA+Gaze,SVM,0.1204,838
EDA+Gaze,XGBoost,0.0026,838
EEG+Gaze,GB,0.0032,838
EEG+Gaze,LGBM,0.2109,838
EEG+Gaze,LDA,0.0001,838
EEG+Gaze,LR,0.0001,838
EEG+Gaze,MLP,0.0002,838
EEG+Gaze,RF,0.0662,838
EEG+Gaze,SVM,0.1527,838
EEG+Gaze,XGBoost,0.0026,838
ECG+EDA+EEG,GB,0.0028,838
ECG+EDA+EEG,LGBM,0.2055,838
ECG+EDA+EEG,LDA,0.0001,838
ECG+EDA+EEG,LR,0.0001,838
ECG+EDA+EEG,MLP,0.0003,838
ECG+EDA+EEG,RF,0.0659,838
ECG+EDA+EEG,SVM,0.1733,838
ECG+EDA+EEG,XGBoost,0.0027,838
ECG+EDA+Gaze,GB,0.0029,838
ECG+EDA+Gaze,LGBM,0.1872,838
ECG+EDA+Gaze,LDA,0.0001,838
ECG+EDA+Gaze,LR,0.0001,838
ECG+EDA+Gaze,MLP,0.0002,838
ECG+EDA+Gaze,RF,0.0671,838
ECG+EDA+Gaze,SVM,0.155,838
ECG+EDA+Gaze,XGBoost,0.0026,838
ECG+EEG+Gaze,GB,0.003,838
ECG+EEG+Gaze,LGBM,0.1973,838
ECG+EEG+Gaze,LDA,0.0001,838
ECG+EEG+Gaze,LR,0.0001,838
ECG+EEG+Gaze,MLP,0.0003,838
ECG+EEG+Gaze,RF,0.0679,838
ECG+EEG+Gaze,SVM,0.1718,838
ECG+EEG+Gaze,XGBoost,0.0027,838
EDA+EEG+Gaze,GB,0.0031,838
EDA+EEG+Gaze,LGBM,0.2,838
EDA+EEG+Gaze,LDA,0.0001,838
EDA+EEG+Gaze,LR,0.0001,838
EDA+EEG+Gaze,MLP,0.0003,838
EDA+EEG+Gaze,RF,0.0698,838
EDA+EEG+Gaze,SVM,0.1781,838
EDA+EEG+Gaze,XGBoost,0.0027,838
All,GB,0.003,838
All,LGBM,0.2206,838
All,LDA,0.0001,838
All,LR,0.0001,838
All,MLP,0.0003,838
All,RF,0.0676,838
All,SVM,0.2038,838
All,XGBoost,0.0027,838
