combo,model,train_f1,test_f1,gap_f1,train_acc,test_acc,gap_acc
ECG,GB,83.47,61.7,21.78,88.03,73.39,14.64
ECG,LGBM,89.16,61.84,27.32,91.85,74.46,17.39
ECG,LDA,55.59,55.89,-0.3,72.92,73.87,-0.95
ECG,LR,54.39,56.06,-1.67,73.07,74.11,-1.04
ECG,MLP,90.94,62.21,28.73,92.8,70.53,22.28
ECG,RF,56.67,53.61,3.06,74.83,74.11,0.72
ECG,SVM,64.97,59.16,5.81,77.99,74.34,3.65
ECG,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EDA,GB,80.43,50.62,29.81,86.41,69.93,16.49
EDA,LGBM,91.04,49.13,41.91,93.16,70.88,22.28
EDA,LDA,46.45,47.84,-1.39,71.33,71.72,-0.38
EDA,LR,45.19,46.11,-0.91,70.98,71.48,-0.5
EDA,MLP,91.38,56.2,35.17,93.37,66.95,26.43
EDA,RF,52.09,46.76,5.33,74.08,71.48,2.6
EDA,SVM,65.62,51.33,14.29,78.83,70.29,8.54
EDA,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EEG,GB,92.41,67.28,25.13,94.09,75.89,18.19
EEG,LGBM,95.95,66.97,28.97,96.78,76.97,19.81
EEG,LDA,65.43,60.76,4.66,75.69,72.79,2.9
EEG,LR,64.24,57.01,7.23,75.49,70.88,4.6
EEG,MLP,97.19,64.05,33.14,97.73,71.96,25.77
EEG,RF,63.14,55.71,7.42,77.58,74.58,2.99
EEG,SVM,81.94,68.58,13.35,86.44,77.09,9.36
EEG,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
Gaze,GB,86.32,60.59,25.72,89.79,74.34,15.44
Gaze,LGBM,94.85,61.76,33.09,95.94,75.54,20.4
Gaze,LDA,46.98,47.77,-0.8,71.42,71.6,-0.17
Gaze,LR,46.96,47.59,-0.63,71.54,71.84,-0.29
Gaze,MLP,95.74,62.95,32.8,96.57,70.29,26.28
Gaze,RF,52.08,47.33,4.74,73.84,71.96,1.89
Gaze,SVM,65.76,57.13,8.63,78.59,74.34,4.25
Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+EDA,GB,88.62,67.03,21.6,91.37,76.49,14.88
ECG+EDA,LGBM,95.84,62.8,33.04,96.69,74.7,21.98
ECG+EDA,LDA,59.0,57.31,1.69,73.72,73.75,-0.02
ECG+EDA,LR,58.56,57.51,1.04,73.63,73.75,-0.11
ECG+EDA,MLP,97.73,61.54,36.19,98.15,68.02,30.13
ECG+EDA,RF,62.52,54.05,8.47,77.4,73.63,3.77
ECG+EDA,SVM,85.72,62.64,23.08,89.37,73.03,16.34
ECG+EDA,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+EEG,GB,92.93,68.04,24.9,94.45,76.73,17.72
ECG+EEG,LGBM,97.97,68.25,29.73,98.36,77.57,20.79
ECG+EEG,LDA,68.14,63.72,4.42,76.98,74.46,2.52
ECG+EEG,LR,66.81,61.45,5.37,76.41,72.91,3.5
ECG+EEG,MLP,97.82,67.03,30.79,98.18,73.15,25.03
ECG+EEG,RF,64.11,58.87,5.24,77.87,76.01,1.86
ECG+EEG,SVM,86.17,69.07,17.1,89.43,76.73,12.7
ECG+EEG,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+Gaze,GB,89.74,66.63,23.1,92.12,76.73,15.39
ECG+Gaze,LGBM,96.61,66.77,29.84,97.28,77.45,19.84
ECG+Gaze,LDA,60.07,61.96,-1.89,73.9,75.18,-1.28
ECG+Gaze,LR,59.21,61.01,-1.8,73.93,75.06,-1.13
ECG+Gaze,MLP,98.32,64.54,33.78,98.63,71.72,26.91
ECG+Gaze,RF,60.78,59.01,1.76,76.08,75.66,0.43
ECG+Gaze,SVM,79.78,64.66,15.12,85.49,76.01,9.47
ECG+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EDA+EEG,GB,94.21,71.66,22.54,95.4,79.47,15.93
EDA+EEG,LGBM,97.83,69.03,28.8,98.24,78.4,19.84
EDA+EEG,LDA,67.05,63.41,3.64,76.71,74.58,2.13
EDA+EEG,LR,66.63,59.25,7.38,76.44,72.67,3.77
EDA+EEG,MLP,98.76,69.48,29.28,98.98,75.18,23.81
EDA+EEG,RF,63.72,55.8,7.92,77.87,74.7,3.17
