combo,model,train_f1,test_f1,gap_f1,train_acc,test_acc,gap_acc
EDA+EEG,SVM,89.34,71.31,18.03,91.7,78.52,13.18
EDA+EEG,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EDA+Gaze,GB,90.36,66.31,24.05,92.59,77.09,15.51
EDA+Gaze,LGBM,96.92,64.1,32.81,97.52,76.73,20.79
EDA+Gaze,LDA,50.75,54.85,-4.1,71.75,73.39,-1.64
EDA+Gaze,LR,52.37,52.41,-0.04,71.96,72.32,-0.35
EDA+Gaze,MLP,98.94,64.29,34.65,99.13,70.88,28.25
EDA+Gaze,RF,55.85,48.48,7.37,75.34,72.32,3.02
EDA+Gaze,SVM,84.88,65.12,19.76,88.77,75.18,13.59
EDA+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EEG+Gaze,GB,94.66,72.05,22.62,95.76,79.47,16.28
EEG+Gaze,LGBM,98.12,69.82,28.31,98.48,78.52,19.96
EEG+Gaze,LDA,67.89,62.94,4.95,76.86,73.87,2.99
EEG+Gaze,LR,66.79,62.16,4.63,76.32,73.27,3.05
EEG+Gaze,MLP,97.61,67.66,29.96,98.06,74.34,23.72
EEG+Gaze,RF,62.87,57.01,5.86,77.43,75.06,2.37
EEG+Gaze,SVM,87.38,71.45,15.93,90.24,78.76,11.48
EEG+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+EDA+EEG,GB,94.41,71.19,23.22,95.55,78.88,16.67
ECG+EDA+EEG,LGBM,98.27,68.79,29.48,98.6,78.4,20.2
ECG+EDA+EEG,LDA,69.78,64.5,5.28,78.02,75.06,2.96
ECG+EDA+EEG,LR,69.82,63.75,6.07,77.9,74.34,3.56
ECG+EDA+EEG,MLP,97.58,69.04,28.55,97.97,73.87,24.1
ECG+EDA+EEG,RF,65.52,56.87,8.65,78.59,75.18,3.41
ECG+EDA+EEG,SVM,92.7,72.34,20.35,94.18,78.52,15.66
ECG+EDA+EEG,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+EDA+Gaze,GB,91.58,70.36,21.21,93.46,78.76,14.7
ECG+EDA+Gaze,LGBM,97.29,69.02,28.28,97.82,78.64,19.18
ECG+EDA+Gaze,LDA,62.06,62.24,-0.18,74.62,74.94,-0.32
ECG+EDA+Gaze,LR,61.27,63.11,-1.84,74.2,75.78,-1.57
ECG+EDA+Gaze,MLP,99.01,64.24,34.78,99.19,71.36,27.83
ECG+EDA+Gaze,RF,63.29,57.05,6.24,77.55,74.82,2.72
ECG+EDA+Gaze,SVM,91.06,67.8,23.26,93.04,75.78,17.27
ECG+EDA+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
ECG+EEG+Gaze,GB,94.66,72.99,21.67,95.76,80.07,15.69
ECG+EEG+Gaze,LGBM,98.27,71.02,27.25,98.6,79.12,19.48
ECG+EEG+Gaze,LDA,69.3,66.36,2.94,77.43,76.01,1.41
ECG+EEG+Gaze,LR,69.02,65.06,3.96,77.49,74.82,2.66
ECG+EEG+Gaze,MLP,99.57,68.35,31.22,99.64,74.82,24.82
ECG+EEG+Gaze,RF,64.75,57.99,6.76,77.93,75.18,2.75
ECG+EEG+Gaze,SVM,90.85,71.63,19.22,92.8,78.76,14.04
ECG+EEG+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
EDA+EEG+Gaze,GB,95.19,73.08,22.11,96.15,80.07,16.08
EDA+EEG+Gaze,LGBM,98.42,72.62,25.8,98.72,80.55,18.17
EDA+EEG+Gaze,LDA,69.48,64.95,4.53,77.72,75.42,2.31
EDA+EEG+Gaze,LR,69.77,62.44,7.34,77.93,73.27,4.66
EDA+EEG+Gaze,MLP,98.76,69.66,29.1,98.98,76.85,22.14
EDA+EEG+Gaze,RF,64.22,56.87,7.35,78.14,75.18,2.96
EDA+EEG+Gaze,SVM,92.4,73.69,18.71,93.94,79.83,14.11
EDA+EEG+Gaze,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
All,GB,95.33,74.58,20.76,96.27,81.15,15.12
All,LGBM,98.72,72.06,26.65,98.95,80.19,18.76
All,LDA,71.43,66.91,4.52,78.95,76.49,2.46
All,LR,70.52,66.51,4.01,78.17,75.54,2.64
All,MLP,99.82,71.91,27.91,99.85,77.33,22.52
All,RF,64.64,58.59,6.05,78.08,75.66,2.43
All,SVM,94.97,74.71,20.25,95.94,80.19,15.75
All,XGBoost,41.52,41.52,0.0,71.01,71.0,0.0
